factor,category,formula,meaning
ret_1,Momentum/Reversal,close / close.shift(1) - 1,"1-day return, often used as short-term reversal signal."
ret_3,Momentum/Reversal,close / close.shift(3) - 1,3-day return.
ret_5,Momentum/Reversal,close / close.shift(5) - 1,1-week return.
ret_10,Momentum/Reversal,close / close.shift(10) - 1,2-week return.
ret_20,Momentum/Reversal,close / close.shift(20) - 1,1-month return.
ret_60,Momentum/Reversal,close / close.shift(60) - 1,Quarterly return.
ret_120,Momentum/Reversal,close / close.shift(120) - 1,Half-year return.
volatility_5,Volatility,"std(daily_return, 5)",Recent realized volatility.
volatility_10,Volatility,"std(daily_return, 10)",2-week realized volatility.
volatility_20,Volatility,"std(daily_return, 20)",1-month realized volatility.
volatility_60,Volatility,"std(daily_return, 60)",Quarterly realized volatility.
amplitude_5,Volatility,"rolling_max(high, 5) / rolling_min(low, 5) - 1",5-day price range.
amplitude_10,Volatility,"rolling_max(high, 10) / rolling_min(low, 10) - 1",10-day price range.
amplitude_20,Volatility,"rolling_max(high, 20) / rolling_min(low, 20) - 1",20-day price range.
volume_mean_5,Liquidity,"mean(volume, 5)",Recent average trading volume.
volume_mean_20,Liquidity,"mean(volume, 20)",Monthly average trading volume.
volume_mean_60,Liquidity,"mean(volume, 60)",Quarterly average trading volume.
amount_mean_5,Liquidity,"mean(amount, 5)",Recent average traded value.
amount_mean_20,Liquidity,"mean(amount, 20)",Monthly average traded value.
amount_mean_60,Liquidity,"mean(amount, 60)",Quarterly average traded value.
turnover_mean_5,Liquidity,"mean(turnover_rate, 5)",Recent trading activity.
turnover_mean_20,Liquidity,"mean(turnover_rate, 20)",Monthly trading activity.
turnover_mean_60,Liquidity,"mean(turnover_rate, 60)",Quarterly trading activity.
corr_ret_volume_10,Price-Volume,"corr(daily_return, volume, 10)",Short-term relation between price moves and volume.
corr_ret_volume_20,Price-Volume,"corr(daily_return, volume, 20)",Monthly return-volume relation.
corr_close_volume_20,Price-Volume,"corr(close, volume, 20)",Price-volume co-movement.
corr_ret_amount_20,Price-Volume,"corr(daily_return, amount, 20)",Return-traded value co-movement.
volume_chg_5_20,Activity Change,volume_mean_5 / volume_mean_20 - 1,Recent volume acceleration.
amount_chg_5_20,Activity Change,amount_mean_5 / amount_mean_20 - 1,Recent traded-value acceleration.
turnover_chg_5_20,Activity Change,turnover_mean_5 / turnover_mean_20 - 1,Recent turnover acceleration.
close_to_high_20,Price Location,"close / rolling_max(high, 20) - 1",Distance to 20-day high.
close_to_low_20,Price Location,"close / rolling_min(low, 20) - 1",Distance to 20-day low.
close_position_20,Price Location,"(close - rolling_min(low,20)) / (rolling_max(high,20)-rolling_min(low,20))",Where close sits in the 20-day range.
close_position_60,Price Location,"(close - rolling_min(low,60)) / (rolling_max(high,60)-rolling_min(low,60))",Where close sits in the 60-day range.
ret_20_div_vol_20,Risk-adjusted Return,ret_20 / volatility_20,Monthly return adjusted by realized volatility.
ret_60_div_vol_60,Risk-adjusted Return,ret_60 / volatility_60,Quarterly return adjusted by realized volatility.
